Rank,Name Country/Region,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
1201–1500,Jiangsu Normal UniversityChina,25.2–30.6,16.7,12.3,47.0,30.6,25.5
1201–1500,Jimma UniversityEthiopia,25.2–30.6,15.4,9.3,58.6,18.0,37.2
1201–1500,Kagawa UniversityJapan,25.2–30.6,25.6,13.1,32.8,55.7,29.5
1201–1500,Kangwon National UniversitySouth KoreaExplore,25.2–30.6,23.4,24.1,33.7,52.9,24.0
1201–1500,Kansai Medical UniversityJapan,25.2–30.6,28.3,11.2,49.6,45.5,20.5
1201–1500,Karunya Institute of Technology and SciencesIndia,25.2–30.6,20.4,13.9,59.6,23.5,22.9
1201–1500,Kaunas University of TechnologyLithuaniaExplore,25.2–30.6,22.6,17.4,46.4,40.6,40.5
1201–1500,Kharazmi UniversityIran,25.2–30.6,29.6,14.6,44.8,25.1,34.0
1201–1500,Khulna UniversityBangladesh,25.2–30.6,18.3,10.0,43.0,18.8,42.8
1201–1500,Kindai UniversityJapan,25.2–30.6,18.1,11.6,50.3,52.4,32.4
1201–1500,King Mongkut's University of Technology North BangkokThailand,25.2–30.6,16.8,13.2,55.8,46.9,29.3
1201–1500,Kohat University of Science and TechnologyPakistan,25.2–30.6,14.3,14.2,52.4,21.0,60.7
1201–1500,Kookmin UniversitySouth Korea,25.2–30.6,24.1,20.3,24.8,56.1,37.3
1201–1500,Kurume UniversityJapan,25.2–30.6,28.0,12.5,43.2,45.9,23.5
1201–1500,Kuwait UniversityKuwaitExplore,25.2–30.6,18.8,10.8,50.6,30.8,61.5
1201–1500,Kwame Nkrumah University of Science and TechnologyGhana,25.2–30.6,16.3,17.2,49.4,45.1,47.3
1201–1500,Kyushu Institute of Technology (Kyutech)Japan,25.2–30.6,26.9,15.9,29.2,67.8,39.4
1201–1500,Lebanese UniversityLebanon,25.2–30.6,38.3,19.2,22.6,21.0,79.2
1201–1500,Lodz University of TechnologyPoland,25.2–30.6,23.4,15.9,30.7,61.9,32.9
1201–1500,Lorestan UniversityIran,25.2–30.6,27.8,11.7,47.0,24.8,26.6
1201–1500,Mae Fah Luang UniversityThailand,25.2–30.6,16.0,13.5,49.3,35.5,58.2
1201–1500,Maejo UniversityThailand,25.2–30.6,14.1,9.2,53.4,32.9,39.4
1201–1500,Makerere UniversityUganda,25.2–30.6,20.9,6.4,45.1,20.1,67.4
1201–1500,Manav Rachna International Institute of Research and StudiesIndia,25.2–30.6,36.6,10.2,36.4,20.5,20.6
1201–1500,Manipal University JaipurIndia,25.2–30.6,21.4,13.8,54.5,27.2,29.0
1201–1500,Medical University of LublinPoland,25.2–30.6,31.1,13.0,31.6,36.1,36.2
1201–1500,Medical University of Silesia in KatowicePoland,25.2–30.6,31.0,12.7,37.1,31.8,25.3
1201–1500,Medical University of SofiaBulgaria,25.2–30.6,31.9,20.7,31.5,47.1,51.8
1201–1500,"Mehran University of Engineering and Technology, Jamshoro, PakistanPakistan",25.2–30.6,15.7,10.6,56.5,21.4,48.7
1201–1500,Mendel University in BrnoCzechia,25.2–30.6,19.2,19.3,36.1,21.9,58.1
1201–1500,Menoufia UniversityEgypt,25.2–30.6,14.1,9.4,58.3,28.6,48.2
1201–1500,Miguel Hernández University of ElcheSpain,25.2–30.6,19.9,18.8,43.8,62.5,41.9
1201–1500,Mirpur University of Science and TechnologyPakistan,25.2–30.6,9.0,9.7,56.5,20.3,48.9
1201–1500,Mohammed V University of RabatMorocco,25.2–30.6,28.5,15.5,35.0,40.8,31.8
1201–1500,Moscow Aviation InstituteRussian Federation,25.2–30.6,32.9,14.6,30.4,49.6,31.0
1201–1500,Mutah UniversityJordan,25.2–30.6,28.0,12.8,33.6,20.8,62.5
1201–1500,Nagaoka University of TechnologyJapan,25.2–30.6,34.4,15.7,19.4,64.4,43.1
1201–1500,Nagasaki UniversityJapan,25.2–30.6,30.2,15.2,31.5,53.7,39.9
1201–1500,Nagoya City UniversityJapan,25.2–30.6,31.3,16.9,35.9,64.9,25.0
1201–1500,Nagoya Institute of TechnologyJapan,25.2–30.6,22.9,21.3,23.1,74.2,31.6
1201–1500,National Chengchi UniversityTaiwan,25.2–30.6,26.2,28.5,24.5,51.5,52.2
1201–1500,National Chung Cheng UniversityTaiwan,25.2–30.6,22.2,22.7,26.0,73.2,28.1
1201–1500,"National Institute of Applied Sciences, Strasbourg (INSA Strasbourg)France",25.2–30.6,23.8,15.8,29.8,46.8,71.9
1201–1500,National Institute of Technology DelhiIndia,25.2–30.6,31.0,13.0,42.2,19.5,27.0
1201–1500,National Institute of Technology SrinagarIndia,25.2–30.6,26.1,12.8,43.0,18.4,25.8
1201–1500,National Institute of Technology WarangalIndia,25.2–30.6,23.7,14.0,47.8,24.6,25.2
1201–1500,National Kaohsiung University of Science and TechnologyTaiwan,25.2–30.6,17.2,18.8,38.1,63.0,27.7
1201–1500,National Taiwan Ocean UniversityTaiwan,25.2–30.6,20.2,26.1,29.0,57.9,34.6
1201–1500,National Textile UniversityPakistan,25.2–30.6,12.8,13.8,56.5,29.2,45.9
1201–1500,National University of Distance Education (UNED)Spain,25.2–30.6,18.3,19.5,39.5,43.6,31.4
1201–1500,Necmettin Erbakan UniversityTurkey,25.2–30.6,37.3,15.0,37.6,24.1,40.1
1201–1500,Nicolaus Copernicus University in ToruńPoland,25.2–30.6,27.2,22.3,37.3,31.9,34.1
1201–1500,Niigata UniversityJapan,25.2–30.6,30.5,15.6,40.8,49.4,29.0
1201–1500,Nile UniversityEgypt,25.2–30.6,17.7,12.4,42.5,38.3,29.4
1201–1500,Nova Southeastern UniversityUnited States,25.2–30.6,38.3,13.3,35.2,51.0,36.8
1201–1500,Opole University of TechnologyPoland,25.2–30.6,19.0,15.2,38.0,23.1,43.3
1201–1500,Osaka Metropolitan UniversityJapan,25.2–30.6,29.2,19.6,29.3,80.5,26.7
1201–1500,Osmania UniversityIndia,25.2–30.6,34.2,16.8,34.2,30.9,21.9
1201–1500,Paris Nanterre UniversityFrance,25.2–30.6,21.0,17.1,28.9,38.6,68.0
1201–1500,Pavol Jozef Šafárik University in KošiceSlovakia,25.2–30.6,40.2,10.4,21.4,25.9,61.2
1201–1500,Persian Gulf UniversityIran,25.2–30.6,17.9,14.4,44.3,22.1,41.2
1201–1500,Pirogov Russian National Research Medical UniversityRussian Federation,25.2–30.6,42.9,14.3,16.3,39.6,30.2
1201–1500,Plekhanov Russian University of EconomicsRussian Federation,25.2–30.6,26.6,13.1,32.5,20.7,47.1
1201–1500,Pondicherry UniversityIndia,25.2–30.6,33.5,17.3,38.7,39.8,21.5
1201–1500,Pontifícia Universidade Católica do ParanáBrazil,25.2–30.6,24.8,13.5,42.2,44.9,31.2
1201–1500,Port Said UniversityEgypt,25.2–30.6,13.1,10.0,57.0,27.9,47.2
1201–1500,Poznań University of Life SciencesPoland,25.2–30.6,25.8,12.6,42.4,30.8,30.6
1201–1500,Poznan University of Medical SciencesPoland,25.2–30.6,27.7,13.7,44.5,42.5,35.4
1201–1500,Poznan University of TechnologyPoland,25.2–30.6,22.1,14.3,35.9,47.3,30.2
1201–1500,Prince of Songkla UniversityThailand,25.2–30.6,24.3,15.3,35.8,48.3,38.1
1201–1500,Pukyong National UniversitySouth Korea,25.2–30.6,27.2,16.2,33.3,46.2,33.7
1201–1500,Qom University of Medical SciencesIran,25.2–30.6,36.7,11.3,36.3,22.3,24.3
1201–1500,Rajshahi University of Engineering and TechnologyBangladesh,25.2–30.6,14.1,8.7,61.4,18.6,33.7
1201–1500,Razi UniversityIran,25.2–30.6,27.1,15.5,40.3,48.7,27.2
1201–1500,Saitama Medical UniversityJapan,25.2–30.6,27.2,10.7,40.8,43.7,18.5
1201–1500,Salahaddin University–ErbilIraq,25.2–30.6,17.8,7.9,61.0,16.6,35.8
1201–1500,Sapporo Medical UniversityJapan,25.2–30.6,30.9,13.2,34.1,56.1,17.7
1201–1500,Sathyabama Institute of Science and TechnologyIndiaExplore,25.2–30.6,31.1,10.1,42.6,21.6,28.5
1201–1500,Saudi Electronic UniversitySaudi Arabia,25.2–30.6,9.9,8.9,62.2,17.8,74.7
1201–1500,Sefako Makgatho Health Sciences UniversitySouth Africa,25.2–30.6,25.4,10.6,48.1,18.3,47.5
1201–1500,Seoul National University of Science and Technology (SeoulTech)South Korea,25.2–30.6,30.5,21.0,33.1,50.9,33.5
1201–1500,Shahid Bahonar University of KermanIran,25.2–30.6,20.9,15.2,47.5,27.0,26.3
1201–1500,​Shahid Chamran University of AhvazIran,25.2–30.6,29.4,19.4,39.9,50.2,27.5
1201–1500,Shahid Sadoughi University of Medical SciencesIran,25.2–30.6,42.8,11.0,25.1,18.9,22.1
1201–1500,Shahrekord UniversityIran,25.2–30.6,23.2,13.9,53.4,19.5,23.3
1201–1500,Sharda UniversityIndia,25.2–30.6,27.9,13.3,48.2,22.0,42.3
1201–1500,Shiga University of Medical ScienceJapan,25.2–30.6,32.0,12.8,33.1,61.2,24.7
1201–1500,Shinshu UniversityJapan,25.2–30.6,26.8,17.6,30.4,61.2,31.5
1201–1500,Showa UniversityJapan,25.2–30.6,33.3,11.0,40.0,40.7,20.3
1201–1500,Sidi Mohamed Ben Abdellah UniversityMorocco,25.2–30.6,26.2,12.1,42.9,22.6,25.1
1201–1500,Silesian University of TechnologyPoland,25.2–30.6,24.2,16.3,44.6,42.7,31.6
1201–1500,Sohag UniversityEgypt,25.2–30.6,14.0,9.1,55.2,19.0,50.7
1201–1500,Soonchunhyang UniversitySouth Korea,25.2–30.6,24.0,27.9,33.1,54.6,34.6
1201–1500,Soongsil UniversitySouth Korea,25.2–30.6,27.3,16.3,27.6,51.9,35.3
1201–1500,South Valley University (Egypt)Egypt,25.2–30.6,15.4,9.7,57.1,18.8,48.5
1201–1500,Sri Venkateswara UniversityIndia,25.2–30.6,36.2,11.6,26.3,25.6,29.2
1201–1500,Ştefan cel Mare University of SuceavaRomania,25.2–30.6,15.3,13.7,46.7,20.7,39.2
1201–1500,St Francis Xavier UniversityCanada,25.2–30.6,16.7,18.1,48.0,27.9,54.5
1201–1500,Suranaree University of TechnologyThailand,25.2–30.6,21.7,17.8,29.6,52.2,36.7
1201–1500,SWPS UniversityPoland,25.2–30.6,16.8,12.9,50.2,18.6,51.6
1201–1500,Technical University of CartagenaSpain,25.2–30.6,26.1,12.9,41.1,36.8,40.6
1201–1500,Technical University of CreteGreece,25.2–30.6,14.3,11.3,45.9,41.6,38.0
1201–1500,Texas State UniversityUnited States,25.2–30.6,18.3,20.2,48.1,36.6,45.7
1201–1500,Thammasat UniversityThailand,25.2–30.6,27.9,20.0,28.1,32.8,37.9
1201–1500,The British University in EgyptEgypt,25.2–30.6,18.0,10.4,47.2,17.9,37.0
1201–1500,The Jikei University School of MedicineJapan,25.2–30.6,30.3,10.9,43.9,43.3,20.4
1201–1500,The John Paul II Catholic University of LublinPoland,25.2–30.6,31.3,16.1,35.2,17.3,33.0
1201–1500,"The University of Agriculture, PeshawarPakistan",25.2–30.6,24.5,10.8,47.0,24.3,49.0
1201–1500,The University of Electro-CommunicationsJapan,25.2–30.6,27.0,23.1,28.6,68.1,38.7
1201–1500,The University of Notre Dame AustraliaAustralia,25.2–30.6,17.4,17.9,49.8,20.4,59.4
1201–1500,The University of the West IndiesJamaicaExplore,25.2–30.6,22.4,10.9,35.8,26.3,50.8
1201–1500,TOBB University of Economics and TechnologyTurkey,25.2–30.6,18.6,13.1,42.4,51.7,41.2
1201–1500,Tokai UniversityJapan,25.2–30.6,18.1,12.8,45.9,45.6,31.5
1201–1500,Tokushima UniversityJapan,25.2–30.6,29.6,21.4,25.6,88.7,25.5
1201–1500,Tokyo Metropolitan UniversityJapanExplore,25.2–30.6,30.0,16.1,26.5,50.8,35.6
1201–1500,Tokyo University of Marine Science and TechnologyJapan,25.2–30.6,31.2,17.3,21.9,52.2,45.4
1201–1500,Tokyo University of ScienceJapan,25.2–30.6,22.9,24.8,25.5,73.5,30.5
1201–1500,Tomas Bata University in ZlínCzechia,25.2–30.6,21.3,21.3,37.1,27.6,54.0
1201–1500,Toyohashi University of Technology (TUT)Japan,25.2–30.6,29.1,21.2,21.5,81.2,44.4
1201–1500,Transilvania University of BrașovRomania,25.2–30.6,15.1,13.2,48.4,36.9,38.2
1201–1500,Tunghai UniversityTaiwan,25.2–30.6,15.0,15.6,40.9,43.7,46.3
1201–1500,Tzu Chi UniversityTaiwan,25.2–30.6,25.3,26.7,19.3,64.7,27.9
1201–1500,Unisinos UniversityBrazil,25.2–30.6,31.8,18.6,23.1,36.3,29.0
1201–1500,Universidad Autónoma de ChileChile,25.2–30.6,12.5,14.2,44.0,19.2,55.7
1201–1500,Universidad Católica San Antonio de Murcia (UCAM)Spain,25.2–30.6,19.5,15.7,34.6,37.1,53.9
1201–1500,Universidad de CartagenaColombia,25.2–30.6,13.1,9.4,56.5,18.1,39.4
1201–1500,Universidad del DesarrolloChile,25.2–30.6,17.4,11.7,50.6,22.1,52.2
1201–1500,Universidade Eduardo MondlaneMozambique,25.2–30.6,10.5,9.0,58.4,20.6,52.2
1201–1500,Universidade Federal do ABC (UFABC)Brazil,25.2–30.6,16.4,16.1,39.4,26.3,45.7
1201–1500,Universidade Federal do Paraná (UFPR)Brazil,25.2–30.6,34.2,17.0,28.1,47.6,34.0
1201–1500,Universidad LoyolaSpain,25.2–30.6,22.1,14.1,39.8,18.0,47.1
1201–1500,Universidad San Francisco de QuitoEcuador,25.2–30.6,23.0,11.3,44.3,18.9,65.3
1201–1500,Universitas AirlanggaIndonesiaExplore,25.2–30.6,27.7,14.1,34.9,27.9,60.1
1201–1500,Universitas Gadjah MadaIndonesia,25.2–30.6,30.9,21.8,26.2,56.4,44.0
1201–1500,Universitas Muhammadiyah SurakartaIndonesia,25.2–30.6,16.3,9.2,58.2,17.6,31.2
1201–1500,Universitas Sebelas MaretIndonesia,25.2–30.6,20.0,22.0,33.8,49.7,37.3
1201–1500,Université Djillali Liabès de Sidi Bel-AbbèsAlgeria,25.2–30.6,27.7,9.8,46.7,17.1,37.2
1201–1500,Université Polytechnique Hauts-de-FranceFrance,25.2–30.6,16.6,17.2,36.2,60.8,69.3
1201–1500,Université Saint-Joseph de BeyrouthLebanon,25.2–30.6,31.8,11.7,25.6,30.7,70.4
1201–1500,Universiti Malaysia Sarawak (UNIMAS)Malaysia,25.2–30.6,30.2,20.9,25.0,73.3,61.5
1201–1500,Universiti Tun Hussein Onn Malaysia (UTHM)Malaysia,25.2–30.6,23.1,15.7,34.6,29.4,47.5
1201–1500,University of A CoruñaSpain,25.2–30.6,24.5,17.6,43.1,41.8,37.2
1201–1500,University of AnbarIraq,25.2–30.6,20.3,8.7,43.4,34.7,30.3
1201–1500,University of AngersFrance,25.2–30.6,15.1,14.1,43.6,48.1,64.8
1201–1500,University of AntioquiaColombia,25.2–30.6,19.0,19.7,34.7,40.5,39.7
1201–1500,University of AntofagastaChile,25.2–30.6,18.5,9.5,43.5,17.4,53.6
1201–1500,HES-SO University of Applied Sciences and Arts of Western SwitzerlandSwitzerland,25.2–30.6,24.3,13.5,33.4,29.2,85.4
1201–1500,University of Azad Jammu and KashmirPakistan,25.2–30.6,14.1,11.5,57.2,18.0,49.1
1201–1500,University of BeninNigeria,25.2–30.6,18.6,8.6,50.6,17.7,36.6
1201–1500,University of BotswanaBotswana,25.2–30.6,15.3,12.8,52.3,21.0,61.1
1201–1500,University of BrasíliaBrazil,25.2–30.6,31.3,15.5,27.5,28.9,36.6
1201–1500,University of BurgosSpain,25.2–30.6,21.4,15.9,42.8,33.3,38.0
1201–1500,University of CadizSpain,25.2–30.6,21.0,20.1,42.6,30.9,44.9
1201–1500,"University of Chemistry and Technology, PragueCzechia",25.2–30.6,36.7,15.1,27.2,54.3,54.6
1201–1500,University of ChittagongBangladesh,25.2–30.6,15.6,9.3,50.0,21.8,54.5
1201–1500,University of ConcepciónChile,25.2–30.6,18.2,17.0,38.5,48.0,51.3
1201–1500,University of DuhokIraq,25.2–30.6,22.5,8.2,60.4,15.9,30.7
1201–1500,University of Engineering & Technology (UET) LahorePakistan,25.2–30.6,19.5,9.6,54.6,27.7,50.5
1201–1500,University of ÉvoraPortugal,25.2–30.6,21.9,18.9,34.4,23.7,53.8
1201–1500,University of Franche-ComtéFrance,25.2–30.6,20.5,15.8,40.2,49.9,71.1
1201–1500,University of GdańskPoland,25.2–30.6,24.8,15.4,33.2,26.0,36.5
1201–1500,University of GuilanIran,25.2–30.6,23.8,17.6,45.9,33.3,25.1
1201–1500,"University of Health Sciences, TurkeyTurkey",25.2–30.6,46.1,6.1,25.6,16.9,30.8
1201–1500,University of IlorinNigeria,25.2–30.6,15.9,9.3,48.7,17.4,40.2
1201–1500,University of IoanninaGreece,25.2–30.6,14.4,14.9,53.3,48.0,39.7
1201–1500,University of La RochelleFrance,25.2–30.6,21.9,12.4,35.1,26.9,69.3
1201–1500,University of La SerenaChile,25.2–30.6,12.9,9.4,54.3,16.6,50.0
1201–1500,University of Las Palmas de Gran CanariaSpain,25.2–30.6,21.4,16.9,44.1,31.2,43.3
1201–1500,University of LeónSpain,25.2–30.6,23.2,16.2,43.5,62.8,36.6
1201–1500,University of MacedoniaGreece,25.2–30.6,16.7,17.6,42.3,26.1,25.4
1201–1500,University of MalagaSpain,25.2–30.6,22.0,16.7,42.4,52.0,41.6
1201–1500,University of ManoubaTunisia,25.2–30.6,27.5,9.5,43.5,21.8,45.6
1201–1500,University of MaraghehIran,25.2–30.6,13.2,15.6,57.7,32.1,40.0
1201–1500,University of MariborSlovenia,25.2–30.6,21.3,18.0,39.2,45.8,37.6
1201–1500,University of MauritiusMauritius,25.2–30.6,29.4,14.5,42.7,42.3,40.4
1201–1500,University of MazandaranIran,25.2–30.6,23.4,16.5,40.2,32.5,29.8
1201–1500,University of Medicine and Pharmacy of CraiovaRomania,25.2–30.6,26.6,10.1,52.1,21.2,38.9
1201–1500,University of MonastirTunisia,25.2–30.6,31.7,10.5,40.4,29.2,46.0
1201–1500,University of Nebraska OmahaUnited States,25.2–30.6,18.4,15.3,51.8,39.5,36.9
1201–1500,University of Nigeria NsukkaNigeria,25.2–30.6,29.4,10.4,36.7,19.2,39.4
1201–1500,University of NorthamptonUnited Kingdom,25.2–30.6,18.1,11.0,42.5,18.4,80.4
1201–1500,University of PannoniaHungary,25.2–30.6,23.1,22.2,27.2,31.9,36.7
1201–1500,University of PeradeniyaSri Lanka,25.2–30.6,12.5,10.6,56.8,28.2,40.6
1201–1500,University of Puerto RicoPuerto Rico,25.2–30.6,24.3,10.7,39.0,34.4,47.6
1201–1500,University of Rouen NormandieFrance,25.2–30.6,22.8,13.7,40.1,50.1,58.4
1201–1500,University of Sadat CityEgypt,25.2–30.6,14.6,9.1,61.5,18.3,49.7
1201–1500,University of Shanghai for Science and TechnologyChina,25.2–30.6,23.4,11.3,44.3,48.6,25.9
1201–1500,University of Social Welfare and Rehabilitation SciencesIran,25.2–30.6,36.5,20.8,28.2,27.1,32.5
1201–1500,University of South AfricaSouth Africa,25.2–30.6,22.5,13.8,48.1,25.3,39.9
1201–1500,University of South WalesUnited Kingdom,25.2–30.6,18.1,12.1,38.7,49.8,78.6
1201–1500,University of SplitCroatia,25.2–30.6,21.0,16.0,43.3,25.7,35.1
1201–1500,University of StaffordshireUnited Kingdom,25.2–30.6,18.4,11.5,48.9,24.3,67.4
1201–1500,University of SunderlandUnited Kingdom,25.2–30.6,19.3,9.7,36.5,34.8,73.0
1201–1500,University of TarapacáChile,25.2–30.6,11.3,21.3,48.2,19.9,56.2
1201–1500,University of Technology of CompiègneFrance,25.2–30.6,33.7,12.1,28.4,58.7,84.4
1201–1500,University of Technology of TroyesFrance,25.2–30.6,29.9,12.7,26.0,41.2,76.2
1201–1500,University of Texas Rio Grande ValleyUnited States,25.2–30.6,18.2,9.3,45.8,19.3,45.5
1201–1500,University of the PhilippinesPhilippines,25.2–30.6,25.3,16.9,35.0,26.9,37.9
1201–1500,University of ThessalyGreece,25.2–30.6,15.1,14.7,55.8,42.3,38.4
1201–1500,University of ToyamaJapan,25.2–30.6,27.4,15.1,29.2,66.2,33.1
1201–1500,University of Trás-os-Montes and Alto DouroPortugal,25.2–30.6,22.0,16.4,47.2,36.0,41.2
1201–1500,University of Urbino Carlo BoItaly,25.2–30.6,14.6,19.2,49.4,38.0,52.4
1201–1500,University of ValladolidSpain,25.2–30.6,25.4,14.8,38.5,42.1,40.2
1201–1500,University of West BohemiaCzechia,25.2–30.6,21.3,17.8,37.4,33.8,35.4
1201–1500,University of WinchesterUnited Kingdom,25.2–30.6,19.5,16.0,43.7,18.8,64.9
1201–1500,University of WorcesterUnited Kingdom,25.2–30.6,17.6,12.0,38.0,23.2,59.9
1201–1500,University of WrocławPoland,25.2–30.6,23.8,21.4,36.4,31.2,44.9
1201–1500,University of ZagrebCroatia,25.2–30.6,26.0,16.6,42.3,67.6,30.9
1201–1500,University Rey Juan CarlosSpain,25.2–30.6,17.1,14.4,47.8,47.0,38.6
1201–1500,USAMV Cluj-NapocaRomania,25.2–30.6,18.4,9.5,55.3,20.5,40.8
1201–1500,"Vels Institute of Science, Technology and Advanced Studies (VISTAS)India",25.2–30.6,29.6,10.3,45.7,20.0,18.2
1201–1500,Veltech UniversityIndia,25.2–30.6,18.0,10.7,57.4,30.9,27.6
1201–1500,"Vietnam National University, HanoiVietnam",25.2–30.6,18.6,12.0,51.8,24.6,47.2
1201–1500,Vilnius Gediminas Technical University (Vilnius Tech)Lithuania,25.2–30.6,21.5,17.3,31.7,46.1,48.1
1201–1500,"Visvesvaraya National Institute of Technology, NagpurIndia",25.2–30.6,28.2,12.7,41.7,41.8,19.8
1201–1500,VSB - Technical University of OstravaCzechiaExplore,25.2–30.6,24.8,21.1,31.7,43.3,50.6
1201–1500,Vytautas Magnus UniversityLithuania,25.2–30.6,23.6,12.6,31.2,20.3,60.9
1201–1500,Walailak UniversityThailand,25.2–30.6,20.3,14.6,51.7,17.7,43.6
1201–1500,Warsaw University of Life Sciences – SGGWPoland,25.2–30.6,19.3,12.5,41.2,29.2,34.6
1201–1500,Warsaw University of TechnologyPoland,25.2–30.6,25.7,17.6,30.8,54.9,32.8
1201–1500,Western Michigan UniversityUnited States,25.2–30.6,26.0,17.4,41.2,43.5,43.9
1201–1500,West University of TimişoaraRomania,25.2–30.6,19.6,12.8,48.0,18.9,36.2
1201–1500,Woosong UniversitySouth Korea,25.2–30.6,18.7,10.4,41.6,20.1,83.0
1201–1500,Wrocław University of Science and TechnologyPoland,25.2–30.6,20.2,18.5,34.1,57.6,33.7
1201–1500,Wuhan Textile UniversityChina,25.2–30.6,15.7,11.8,51.3,49.3,23.5
1201–1500,Xiangtan UniversityChina,25.2–30.6,18.5,16.7,50.7,52.6,21.7
1201–1500,Xuzhou Medical UniversityChina,25.2–30.6,16.5,16.6,50.9,32.5,21.3
1201–1500,Yamagata UniversityJapan,25.2–30.6,28.1,15.4,25.5,71.6,32.3
1201–1500,Yasouj UniversityIran,25.2–30.6,15.2,15.2,47.8,27.6,22.7
1201–1500,Yazd UniversityIran,25.2–30.6,24.3,18.0,45.2,41.4,36.8
1201–1500,Yokohama National UniversityJapan,25.2–30.6,24.8,23.1,21.6,76.2,35.7
1201–1500,Zhejiang Sci-Tech UniversityChina,25.2–30.6,17.0,20.0,48.5,74.1,23.0
1501+,Abdelmalek Essaâdi UniversityMorocco,10.5–25.1,20.8,10.4,38.1,20.0,29.5
1501+,Acharya Nagarjuna UniversityIndia,10.5–25.1,44.7,9.7,17.9,26.4,28.6
1501+,Acıbadem UniversityTurkey,10.5–25.1,27.1,12.8,24.2,21.8,34.5
1501+,Adana Alparslan Türkeş Science and Technology UniversityTurkey,10.5–25.1,17.1,8.7,28.1,16.5,19.9
1501+,Adelphi UniversityUnited States,10.5–25.1,24.1,7.7,28.4,17.0,32.5
1501+,Afyon Kocatepe UniversityTurkey,10.5–25.1,13.6,9.8,23.5,21.0,25.1
1501+,Akita UniversityJapan,10.5–25.1,26.7,13.9,18.6,41.5,27.8
1501+,Aksaray UniversityTurkey,10.5–25.1,11.8,9.1,23.1,19.9,28.6
1501+,Alberto Hurtado UniversityChile,10.5–25.1,13.8,14.7,22.2,15.7,37.3
1501+,Alexandru Ioan Cuza UniversityRomania,10.5–25.1,19.0,12.0,30.8,38.1,40.1
1501+,Al-Furat Al-Awsat Technical UniversityIraq,10.5–25.1,11.2,8.3,17.3,18.8,23.3
1501+,Allameh Tabataba ’i UniversityIran,10.5–25.1,29.0,14.6,29.8,22.9,29.9
1501+,Al-Muthanna UniversityIraq,10.5–25.1,17.7,8.4,23.2,16.0,34.1
1501+,Al-Nahrain UniversityIraq,10.5–25.1,26.9,9.4,29.1,21.5,22.3
1501+,Altai State UniversityRussian Federation,10.5–25.1,21.9,17.6,16.4,24.9,64.0
1501+,Altınbaş UniversityTurkey,10.5–25.1,12.9,11.5,27.3,20.1,53.6
1501+,Alzahra UniversityIran,10.5–25.1,23.6,16.4,28.1,24.1,31.0
1501+,Ankara UniversityTurkey,10.5–25.1,18.1,12.3,30.7,32.3,35.1
1501+,Ankara Yildirim Beyazit UniversityTurkey,10.5–25.1,18.6,12.9,28.2,23.5,33.2
1501+,Antonio Nariño UniversityColombia,10.5–25.1,18.2,8.0,32.7,16.4,50.9
1501+,Aoyama Gakuin UniversityJapan,10.5–25.1,19.6,9.0,9.3,25.5,35.7
1501+,Arak UniversityIran,10.5–25.1,20.7,11.9,31.7,23.9,34.2
1501+,Atılım UniversityTurkeyExplore,10.5–25.1,18.7,9.6,35.3,20.3,45.3
1501+,Austral University of ChileChile,10.5–25.1,15.6,15.3,29.1,32.6,53.4
1501+,Autonomous University of Baja CaliforniaMexico,10.5–25.1,14.0,8.7,12.5,17.6,34.1
1501+,Aydın Adnan Menderes UniversityTurkey,10.5–25.1,28.5,18.1,17.8,21.0,23.1
1501+,Azerbaijan State Oil and Industry UniversityAzerbaijan,10.5–25.1,21.1,7.6,10.7,16.2,33.5
1501+,Badji Mokhtar University – AnnabaAlgeria,10.5–25.1,43.0,8.7,14.5,21.9,34.1
1501+,Baku State UniversityAzerbaijan,10.5–25.1,22.9,9.1,17.8,19.0,38.0
1501+,Bashkir State Medical UniversityRussian Federation,10.5–25.1,29.7,9.6,19.0,17.4,49.0
1501+,Başkent UniversityTurkey,10.5–25.1,19.9,11.7,16.6,23.7,22.8
1501+,Belarusian State UniversityBelarus,10.5–25.1,25.2,11.5,12.2,44.9,67.9
1501+,Belgorod State National Research UniversityRussian Federation,10.5–25.1,22.6,15.3,11.3,33.1,43.0
1501+,Benemérita Universidad Autónoma de PueblaMexico,10.5–25.1,22.0,8.9,12.3,20.2,36.4
1501+,Bernardo O’Higgins UniversityChile,10.5–25.1,13.8,10.5,12.8,22.3,53.3
1501+,Bezmiâlem Vakif UniversityTurkey,10.5–25.1,31.5,11.9,24.8,20.7,27.5
1501+,Bharath Institute of Higher Education and ResearchIndia,10.5–25.1,21.8,7.6,29.4,22.5,33.5
1501+,Bharati Vidyapeeth UniversityIndia,10.5–25.1,25.9,10.2,22.2,34.9,19.3
1501+,Bialystok University of TechnologyPoland,10.5–25.1,21.5,13.6,22.4,20.5,27.6
1501+,Bilecik Şeyh Edebali UniversityTurkey,10.5–25.1,15.8,10.0,24.2,23.0,36.2
1501+,Blida 1 UniversityAlgeria,10.5–25.1,19.7,8.8,14.6,17.8,35.1
1501+,Bogomolets National Medical UniversityUkraine,10.5–25.1,25.3,9.3,8.2,18.2,37.1
1501+,Bolu Abant Izzet Baysal UniversityTurkey,10.5–25.1,15.5,9.5,31.6,17.8,36.4
1501+,Bozok UniversityTurkey,10.5–25.1,14.9,9.3,28.6,17.8,32.2
